case_id,case,h6_eligible,h6_exclusion_reason,n_flags,maj_sigma_T1,maj_sigma_T2,maj_sigma_T3,maj_sigma_T4,maj_sigma_T5,maj_sigma_T6,maj_collapse_state,maj_gap_45,maj_gap_56,maj_p4_pathway,maj_p5_pathway,maj_t1_archetype,maj_t2_model,maj_gap_mitigated,claude_sigma_T1,claude_sigma_T2,claude_sigma_T3,claude_sigma_T4,claude_sigma_T5,claude_sigma_T6,claude_collapse_state,claude_gap_45,claude_gap_56,claude_p4_pathway,claude_p5_pathway,claude_t1_archetype,claude_t2_model,claude_gap_mitigated,gemini_sigma_T1,gemini_sigma_T2,gemini_sigma_T3,gemini_sigma_T4,gemini_sigma_T5,gemini_sigma_T6,gemini_collapse_state,gemini_gap_45,gemini_gap_56,gemini_p4_pathway,gemini_p5_pathway,gemini_t1_archetype,gemini_t2_model,gemini_gap_mitigated,grok_sigma_T1,grok_sigma_T2,grok_sigma_T3,grok_sigma_T4,grok_sigma_T5,grok_sigma_T6,grok_collapse_state,grok_gap_45,grok_gap_56,grok_p4_pathway,grok_p5_pathway,grok_t1_archetype,grok_t2_model,grok_gap_mitigated,performance_metric_majority_note,flagged_cells
A12,NYSE / Archipelago (2005-2006),yes,,1,replace,N-1,swap,N-1,N-1,N-1,none,0,0,0,0,0,0,NA,replace,N-1,swap,N-1,N-1,1-1,none,0,0,0,0,0,0,NA,replace,N-1,N-1,N-1,N-1,N-1,none,0,0,0,0,0,0,NA,replace,swap,swap,N-1,N-1,swap,none,0,0,0,0,0,0,NA,claude:no divestiture or write-down; combined with Euronext ~13 months after close (Apr 2007) | gemini:no divestiture or write-down; expanded via Euronext combination ~13 months after close | grok:no divestiture or write-down; expanded to Euronext 13 months later,sigma_T6
A13,GM / Toyota NUMMI joint venture (1984–2010),yes,,2,mutual-replace,null,null,1-N,1-1,1-1,none,0,0,0,0,0,0,NA,mutual-replace,swap,swap,1-N,read-only,1-1,none,0,0,0,0,0,0,NA,imprint-share,1-N,1-N,1-N,1-1,1-1,none,0,0,0,0,0,0,NA,mutual-replace,null,null,null,1-1,subset,none,0,0,0,0,0,0,NA,"claude:operationally successful ~25 years; unwound April 1, 2010 amid GM bankruptcy, ~$281M severance to ~4,700 workers | gemini:operated as efficiently as Toyota's Japanese facilities | grok:operationally successful ~25 years until GM 2009 bankruptcy exit",sigma_T2;sigma_T3
A14,Novartis / GlaxoSmithKline three-way asset swap (2014–2015),yes,,1,replace,swap,subset,swap,1-1,partial,none,0,0,0,0,0,0,NA,replace,swap,subset,swap,1-1,partial,none,0,0,0,0,0,0,NA,replace,N-1,subset,swap,subset,subset,none,0,0,0,0,0,0,NA,replace,swap,swap,swap,1-1,1-1,none,0,0,0,0,0,0,NA,"claude:JV stake exit: sold 36.5% consumer-JV stake to GSK for USD 13.0bn on June 1, 2018 (~39 months post-close) | gemini:sale of its 36.5% stake in the consumer-healthcare JV to GSK for USD 13.0 billion | grok:sold 36.5% JV stake for USD 13.0 billion after ~39 months",sigma_T6
E01,Concho Resources / ConocoPhillips (2020-2021),yes,,1,replace,1-1,1-1,1-1,1-1,partial,none,0,0,0,0,0,0,NA,replace,1-1,1-1,1-1,1-1,1-1,none,0,0,0,0,0,0,NA,replace,N-1,1-1,N-1,N-1,N-1,none,0,0,0,0,0,0,NA,replace,1-1,1-1,1-1,1-1,partial,none,0,0,0,0,0,0,NA,claude:no divestiture; assets retained and absorbed into Lower 48 unit | gemini:no divestiture; operations retained | grok:no divestiture; assets retained,sigma_T6
E02,Altera Corporation / Intel Corporation (2015),yes,,0,replace,1-1,1-1,1-1,1-1,1-1,none,0,0,0,0,0,0,NA,replace,1-1,1-1,1-1,1-1,1-1,none,0,0,0,0,0,0,NA,replace,1-1,1-1,1-1,1-1,1-1,none,0,0,0,0,0,0,NA,replace,1-1,1-1,1-1,1-1,1-1,none,0,0,0,0,0,0,NA,claude:divested 51% stake ~9.3 years post-close at ~$8.75bn valuation vs ~$16.7bn paid (roughly half) | gemini:divested 51% majority stake after ~9.3 years at ~$8.75bn valuation (vs ~$16.7bn paid) | grok:sold 51% stake ~112 months post-close at ~52% of original value,
E03,CalAtlantic Group / Lennar Corporation (2017-2018),yes,,0,replace,1-1,terminate,1-1,1-1,partial,none,0,0,0,0,0,0,NA,replace,1-1,terminate,1-1,1-1,partial,none,0,0,0,0,0,0,NA,replace,1-1,terminate,1-1,1-1,1-1,none,0,0,0,0,0,0,NA,replace,1-1,terminate,1-1,partial,partial,none,0,0,0,0,0,0,NA,claude:no divestiture; assets retained (targeted ~$250m cost savings in 2019) | gemini:No divestiture identified; targeted direct cost savings of $75m in 2018 and $250m in 2019 | grok:no divestiture; assets retained,
E04,Chiquita Brands International / Cutrale-Safra (2014-2015),yes,,0,replace,1-1,1-1,1-1,1-1,partial,none,0,0,0,0,0,0,NA,replace,1-1,1-1,1-1,1-1,partial,none,0,0,0,0,0,0,NA,replace,1-1,1-1,1-1,1-1,1-1,none,0,0,0,0,0,0,NA,replace,1-1,1-1,1-1,1-1,partial,none,0,0,0,0,0,0,NA,"claude:no divestiture; company remained private; Charlotte HQ closed (~320 employees affected), later relocated to Switzerland | gemini:No divestiture identified; the company remained privately held | grok:no divestiture; assets retained",
E05,Andrx Corporation / Watson Pharmaceuticals (2006),yes,,0,replace,1-1,1-1,1-1,1-1,1-1,none,0,0,0,0,0,0,NA,replace,N-1,1-1,1-1,1-1,1-1,none,0,0,0,0,0,0,NA,replace,1-1,1-1,1-1,1-1,1-1,none,0,0,0,0,0,0,NA,replace,1-1,1-1,1-1,1-1,1-1,none,0,0,0,0,0,0,NA,claude:no divestiture of core business; Anda unit retained as operating segment; ~$30M expected annual synergies | gemini:no divestiture; assets retained | grok:no divestiture; assets retained,
E06,H. J. Heinz Company / Berkshire Hathaway & 3G Capital (2013),yes,,0,replace,1-1,1-1,1-1,1-1,1-1,none,0,0,0,0,0,0,NA,replace,1-1,1-1,1-1,1-1,1-1,none,0,0,0,0,0,0,NA,replace,1-1,1-1,1-1,1-1,1-1,none,0,0,1,0,0,0,NA,replace,1-1,1-1,1-1,1-1,partial,none,0,0,0,0,0,0,NA,"claude:no divestiture; asset retained, merged into Kraft Heinz ~25 months after close; combined-successor ~$15.4bn impairment at ~5.5yr horizon (mostly Kraft-side brands) | gemini:non-cash impairment losses of approximately $15.4 billion | grok:no divestiture; retained and merged into Kraft Heinz 2015 (~25 months)",
E07,First Data Corporation / KKR (2007),yes,,0,replace,1-1,1-1,1-1,1-1,1-1,none,0,0,0,0,0,0,NA,replace,1-1,1-1,1-1,1-1,1-1,none,0,0,0,0,1,0,NA,replace,1-1,1-1,1-1,1-1,1-1,none,0,0,0,0,0,0,NA,replace,1-1,1-1,1-1,1-1,1-1,none,0,0,0,0,0,0,NA,"claude:no divestiture; held ~8 years, re-IPO October 2015 | gemini:no divestiture; held for about eight years before 2015 IPO | grok:held ~8 years then 2015 IPO",
E08,"CA, Inc. (CA Technologies) / Broadcom Inc. (2018)",yes,,0,replace,partial,1-1,subset,partial,partial,none,0,0,0,0,0,0,NA,replace,partial,1-1,subset,partial,partial,none,0,0,0,0,0,0,NA,replace,1-1,1-1,subset,1-1,1-1,none,0,0,0,0,0,0,NA,replace,partial,1-1,subset,partial,partial,none,0,0,0,0,0,0,NA,claude:Veracode divested for ~$950M at ~0 months; no goodwill impairment identified; CA assets retained as anchor of profitable Infrastructure Software segment | gemini:Veracode divested for ~$950 million at close | grok:no divestiture; assets retained; financial success,
E09,Celgene Corporation / Bristol-Myers Squibb (2019),yes,,0,replace,1-1,1-1,1-1,1-1,1-1,none,0,0,0,0,0,0,NA,replace,1-1,1-1,1-1,1-1,1-1,none,0,0,0,0,0,0,NA,replace,1-1,1-1,1-1,1-1,1-1,none,0,0,0,0,0,0,NA,replace,1-1,1-1,1-1,1-1,1-1,none,0,0,0,0,0,0,NA,claude:no divestiture; core business retained/integrated; CVR (up to ~$6.3bn nominal) terminated worthless ~13 months post-close | gemini:core business retained; contingent value right terminated worthless | grok:no divestiture; core business retained; CVR terminated worthless,
E10,Piedmont Natural Gas Company / Duke Energy (2015-2016),yes,,0,replace,1-1,1-1,1-1,1-1,1-1,none,0,0,0,0,0,0,NA,replace,1-1,1-1,1-1,1-1,1-1,none,0,0,0,0,0,0,NA,replace,1-1,1-1,1-1,1-1,1-1,none,0,0,0,0,0,0,NA,replace,1-1,1-1,1-1,1-1,1-1,none,0,0,0,0,0,0,NA,"claude:no divestiture; Piedmont retained as wholly-owned subsidiary; delisted (Form 25-NSE) Oct 4, 2016 at $60.00/share cash (~$4.85bn equity) | gemini:No divestiture; retained as a wholly-owned subsidiary | grok:no divestiture; assets retained",
E11,"Omnicare, Inc. / CVS Health (2015)",yes,,0,replace,1-1,1-1,1-1,1-1,1-1,none,0,0,0,0,0,1,NA,replace,1-1,1-1,1-1,1-1,1-1,none,0,0,0,0,0,1,NA,replace,1-1,1-1,1-1,1-1,1-1,none,0,0,0,0,0,1,NA,replace,1-1,1-1,1-1,1-1,1-1,none,0,0,0,0,0,1,NA,claude:~$3.9bn LTC goodwill impairment ~34 months after close; no divestiture | gemini:~$3.9 billion pre-tax goodwill impairment charge | grok:~$3.9 billion goodwill impairment charge (LTC reporting unit),
E12,"Lorillard, Inc. / Reynolds American Inc. (2014-2015)",yes,,0,replace,subset,1-1,subset,subset,subset,none,0,0,0,0,0,0,NA,replace,1-1,1-1,subset,subset,subset,none,0,0,0,0,0,0,NA,replace,subset,1-1,subset,subset,subset,none,0,0,0,0,0,0,NA,replace,subset,1-1,subset,subset,subset,none,0,0,0,0,0,0,NA,claude:contemporaneous antitrust divestiture to Imperial Sub ~$7.1bn at close; no later divestiture of retained Newport franchise documented | gemini:contemporaneous divestiture of ~$7.1 billion at close; no later divestiture of retained franchise documented | grok:no later divestiture; retained Newport franchise,
E13,El Paso Corporation / Kinder Morgan (2012),yes,,0,replace,subset,1-1,subset,1-1,subset,none,0,0,0,0,0,0,NA,replace,subset,1-1,subset,1-1,subset,none,0,0,0,0,0,0,NA,replace,subset,1-1,subset,subset,subset,none,0,0,0,0,0,0,NA,replace,subset,1-1,subset,1-1,subset,none,0,0,0,0,0,0,NA,claude:divested EP Energy (E&P) for $7.2bn at close (day before effective date) | gemini:divested EP Energy E&P business for $7.2 billion simultaneously with close | grok:EP Energy divested at close for $7.2bn; natural-gas assets integrated,
E14,BEA Systems / Oracle (2008),yes,,0,replace,1-1,1-1,1-1,1-1,1-1,none,0,0,0,0,0,0,NA,replace,1-1,1-1,1-1,1-1,1-1,none,0,0,0,0,0,0,NA,replace,N-1,1-1,1-1,N-1,N-1,none,0,0,0,0,0,0,NA,replace,1-1,1-1,1-1,1-1,1-1,none,0,0,0,0,0,0,NA,claude:no divestiture; BEA products retained and integrated into Oracle Fusion Middleware (WebLogic made strategic Java app server) | gemini:No divestiture; BEA's products were retained and integrated into Oracle Fusion Middleware | grok:no divestiture; assets retained and integrated,
E15,Forest City Realty Trust / Brookfield Asset Management (2018),yes,,0,replace,1-1,swap,1-1,1-1,uncertain,none,0,0,0,0,0,0,NA,replace,1-1,swap,1-1,1-1,uncertain,none,0,uncertain,0,0,0,0,NA,replace,1-1,1-1,1-1,1-1,uncertain,none,0,uncertain,0,0,0,0,NA,replace,swap,swap,1-1,1-1,uncertain,none,0,uncertain,0,0,0,0,NA,claude:no divestiture; portfolio absorbed into Brookfield's real-estate operating business (take-private) | gemini:not documented | grok:no divestiture; assets retained,
E16,"Kinder Morgan Energy Partners, L.P. / Kinder Morgan, Inc. (2014)",yes,,0,continue,swap,swap,1-1,1-1,null,none,0,0,0,0,0,0,NA,continue,swap,swap,1-1,1-1,null,none,0,0,0,0,0,0,NA,continue,swap,N-1,1-1,1-1,1-1,none,0,0,0,0,0,0,NA,continue,swap,swap,null,null,null,none,0,0,0,0,0,0,NA,"claude:no divestiture; single C-corp (KMI) formed, ~$140bn pro forma enterprise value | gemini:no divestiture; ~$140 billion pro forma enterprise value | grok:no divestiture; assets retained",
