slot,case_id,deal,stratum,role,matched_to,gate_status,cik,form,filing_date,accession,sic,sic_desc,size_usd,deal_value_usd,parent_cik,signal
109,P109,"KRATOS DEFENSE & SECURITY SOLUTIONS, INC.  (KTOS)  (CIK 0001069258)",roll_up,gap_prone,,PASS,1069258,8-K,2011-02-07,0001047469-11-000539,3760,Guided Missiles & Space Vehicles & Parts,1216000000,,,"""roll-up"" OR ""roll up strategy"" OR ""consolidation strategy"" OR ""buy-and-build"" OR ""platform acquisition"" OR ""add-on acquisition"""
110,P110,Verso Corp  (CIK 0001421182),roll_up,gap_prone,,PASS,1421182,8-K,2016-01-28,0001193125-16-440657,2621,Paper Mills,1855000000,,,"""roll-up"" OR ""roll up strategy"" OR ""consolidation strategy"" OR ""buy-and-build"" OR ""platform acquisition"" OR ""add-on acquisition"""
111,P111,"COLE CORPORATE INCOME TRUST, INC.  (CIK 0001490626)",roll_up,gap_prone,,PASS,1490626,10-K,2013-03-28,0001490626-13-000027,6798,Real Estate Investment Trusts,2445677000,,,"""roll-up"" OR ""roll up strategy"" OR ""consolidation strategy"" OR ""buy-and-build"" OR ""platform acquisition"" OR ""add-on acquisition"""
112,P112,"ExamWorks Group, Inc.  (CIK 0001498021)",roll_up,gap_prone,,PASS,1498021,8-K,2016-07-19,0001104659-16-133094,8000,Services-Health Services,1044807000,,,"""roll-up"" OR ""roll up strategy"" OR ""consolidation strategy"" OR ""buy-and-build"" OR ""platform acquisition"" OR ""add-on acquisition"""
113,P113,HERTZ CORP  (CIK 0000047129),roll_up,gap_prone,,PASS,47129,8-K,2009-08-03,0001104659-09-046576,7510,Services-Auto Rental & Leasing (No Drivers),15996424000,,,"""roll-up"" OR ""roll up strategy"" OR ""consolidation strategy"" OR ""buy-and-build"" OR ""platform acquisition"" OR ""add-on acquisition"""
114,P114,Sprague Resources LP  (CIK 0001525287),roll_up,gap_prone,,PASS,1525287,8-K,2017-03-10,0001525287-17-000045,5171,Wholesale-Petroleum Bulk Stations & Terminals,1362985000,,,"""roll-up"" OR ""roll up strategy"" OR ""consolidation strategy"" OR ""buy-and-build"" OR ""platform acquisition"" OR ""add-on acquisition"""
115,P115,HERTZ GLOBAL HOLDINGS INC  (HRI)  (CIK 0001364479),roll_up,gap_prone,,PASS,1364479,8-K,2009-08-03,0001104659-09-046575,7350,Services-Miscellaneous Equipment Rental & Leasing,16002419000,,,"""roll-up"" OR ""roll up strategy"" OR ""consolidation strategy"" OR ""buy-and-build"" OR ""platform acquisition"" OR ""add-on acquisition"""
116,P116,Cole Credit Property Trust II Inc  (CIK 0001308606),roll_up,gap_prone,,PASS,1308606,10-K,2013-03-07,0001308606-13-000004,6512,Opeators of  Nonresidential Buildings,7231045000,,,"""roll-up"" OR ""roll up strategy"" OR ""consolidation strategy"" OR ""buy-and-build"" OR ""platform acquisition"" OR ""add-on acquisition"""
117,P117,Chemtura CORP  (CIK 0001091862),roll_up,gap_prone,,PASS,1091862,8-K,2009-06-16,0001144204-09-032752,2820,"Plastic Material, Synth Resin/Rubber, Cellulos (No Glass)",3118000000,,,"""roll-up"" OR ""roll up strategy"" OR ""consolidation strategy"" OR ""buy-and-build"" OR ""platform acquisition"" OR ""add-on acquisition"""
118,P118,PANTRY INC  (CIK 0000915862),roll_up,gap_prone,,PASS,915862,8-K,2013-10-15,0000915862-13-000041,5500,Retail-Auto Dealers & Gasoline Stations,1679174000,,,"""roll-up"" OR ""roll up strategy"" OR ""consolidation strategy"" OR ""buy-and-build"" OR ""platform acquisition"" OR ""add-on acquisition"""
119,P119,EXPEDITORS INTERNATIONAL OF WASHINGTON INC  (EXPD)  (CIK 0000746515),roll_up,gap_prone,,PASS,746515,8-K,2014-06-10,0000746515-14-000023,4731,Arrangement of  Transportation of  Freight & Cargo,2870626000,,,"""roll-up"" OR ""roll up strategy"" OR ""consolidation strategy"" OR ""buy-and-build"" OR ""platform acquisition"" OR ""add-on acquisition"""
120,P120,"Cole Credit Property Trust III, Inc.  (CIK 0001425923)",roll_up,gap_prone,,PASS,1425923,10-K,2013-03-29,0001425923-13-000003,6798,Real Estate Investment Trusts,7453725000,,,"""roll-up"" OR ""roll up strategy"" OR ""consolidation strategy"" OR ""buy-and-build"" OR ""platform acquisition"" OR ""add-on acquisition"""
121,P121,"NorthStar Real Estate Income II, Inc.  (CIK 0001564657)",roll_up,gap_prone,,PASS,1564657,8-K,2018-02-01,0001193125-18-029397,6798,Real Estate Investment Trusts,1807000000,,,"""roll-up"" OR ""roll up strategy"" OR ""consolidation strategy"" OR ""buy-and-build"" OR ""platform acquisition"" OR ""add-on acquisition"""
122,P122,Corporate Property Associates 17 - Global INC  (CIK 0001390213),roll_up,gap_prone,,PASS,1390213,8-K,2018-11-01,0001104659-18-065167,6798,Real Estate Investment Trusts,4587470000,,,"""roll-up"" OR ""roll up strategy"" OR ""consolidation strategy"" OR ""buy-and-build"" OR ""platform acquisition"" OR ""add-on acquisition"""
123,P123,"Griffin-American Healthcare REIT II, Inc.  (CIK 0001455271)",roll_up,gap_prone,,PASS,1455271,8-K,2014-05-01,0001455271-14-000027,6798,Real Estate Investment Trusts,2928726000,,,"""roll-up"" OR ""roll up strategy"" OR ""consolidation strategy"" OR ""buy-and-build"" OR ""platform acquisition"" OR ""add-on acquisition"""
124,P124,INLAND WESTERN RETAIL REAL ESTATE TRUST INC  (CIK 0001222840),roll_up,gap_prone,,PASS,1222840,8-K,2010-10-15,0001104659-10-052516,6798,Real Estate Investment Trusts,6386836000,,,"""roll-up"" OR ""roll up strategy"" OR ""consolidation strategy"" OR ""buy-and-build"" OR ""platform acquisition"" OR ""add-on acquisition"""
125,P125,"Steadfast Income REIT, Inc.  (CIK 0001468010)",roll_up,gap_prone,,PASS,1468010,8-K,2014-08-06,0001468010-14-000044,6798,Real Estate Investment Trusts,1609067128,,,"""roll-up"" OR ""roll up strategy"" OR ""consolidation strategy"" OR ""buy-and-build"" OR ""platform acquisition"" OR ""add-on acquisition"""
126,P126,"Jones Lang LaSalle Income Property Trust, Inc.  (CIK 0001314152)",roll_up,gap_prone,,PASS,1314152,8-K,2015-06-18,0001314152-15-000067,6798,Real Estate Investment Trusts,1319778000,,,"""roll-up"" OR ""roll up strategy"" OR ""consolidation strategy"" OR ""buy-and-build"" OR ""platform acquisition"" OR ""add-on acquisition"""
127,P127,"Carter Validus Mission Critical REIT II, Inc.  (SILA)  (CIK 0001567925)",roll_up,gap_prone,,PASS,1567925,8-K,2017-08-22,0001567925-17-000124,6798,Real Estate Investment Trusts,1777944000,,,"""roll-up"" OR ""roll up strategy"" OR ""consolidation strategy"" OR ""buy-and-build"" OR ""platform acquisition"" OR ""add-on acquisition"""
128,P128,US Foods Holding Corp.  (USFD)  (CIK 0001665918),roll_up,gap_prone,,PASS,1665918,S-1,2016-02-09,0001193125-16-455364,5140,Wholesale-Groceries & Related Products,24175000000,,,curated:US Foods roll-up
129,P129,Platform Specialty Products Corp  (ESI)  (CIK 0001590714),roll_up,gap_prone,,PASS,1590714,8-K,2015-05-12,0001171843-15-002760,2890,Miscellaneous Chemical Products,10926700000,,,curated:Platform Specialty Products buy-and-build
130,P130,JARDEN CORP  (CIK 0000895655),roll_up,gap_prone,,PASS,895655,8-K,2015-12-14,0001193125-15-402097,5190,Wholesale-Miscellaneous Nondurable Goods,14293100000,,,curated:Jarden consumer roll-up
131,P131,"Vantiv, Inc.  (CIK 0001533932)",roll_up,gap_prone,,PASS,1533932,8-K,2017-09-11,0001193125-17-281198,7389,"Services-Business Services, NEC",28950000000,,,curated:Vantiv payments roll-up
132,P132,BERRY PLASTICS GROUP INC  (BERY)  (CIK 0001378992),roll_up,gap_prone,,PASS,1378992,10-K,2012-12-17,0000919465-12-000024,3089,"Plastics Products, NEC",5419000000,,,curated:Berry Plastics roll-up
133,P133,RADIOSHACK CORP  (CIK 0000096289),distressed,gap_prone,,PASS,96289,8-K,2015-02-11,0001193125-15-044358,5731,"Retail-Radio, Tv & Consumer Electronics Stores",1591200000,,,"""section 363"" OR ""stalking horse"" OR ""debtor-in-possession"" OR ""asset purchase agreement"" OR ""chapter 11 plan"""
134,P134,"Smart & Final Stores, Inc.  (CIK 0001563407)",distressed,gap_prone,,PASS,1563407,8-K,2015-10-05,0001104659-15-068981,5411,Retail-Grocery Stores,1771757000,,,"""section 363"" OR ""stalking horse"" OR ""debtor-in-possession"" OR ""asset purchase agreement"" OR ""chapter 11 plan"""
135,P135,RR Donnelley & Sons Co  (CIK 0000029669),distressed,gap_prone,,PASS,29669,8-K,2009-05-13,0001193125-09-109081,2750,Commercial Printing,8747600000,,,"""section 363"" OR ""stalking horse"" OR ""debtor-in-possession"" OR ""asset purchase agreement"" OR ""chapter 11 plan"""
136,P136,"Walter Energy, Inc.  (CIK 0000837173)",distressed,gap_prone,,PASS,837173,8-K,2015-07-15,0001104659-15-051290,1220,Silver Ores,5331364000,,,"""section 363"" OR ""stalking horse"" OR ""debtor-in-possession"" OR ""asset purchase agreement"" OR ""chapter 11 plan"""
137,P137,DISH Network CORP  (CIK 0001001082),distressed,gap_prone,,PASS,1001082,8-K,2013-07-23,0001104659-13-055868,4841,Cable & Other Pay Television Services,20356430000,,,"""section 363"" OR ""stalking horse"" OR ""debtor-in-possession"" OR ""asset purchase agreement"" OR ""chapter 11 plan"""
138,P138,Rice Energy Inc.  (CIK 0001588238),distressed,gap_prone,,PASS,1588238,8-K,2016-04-15,0001193125-16-543288,1311,Crude Petroleum & Natural Gas,7817522000,,,"""section 363"" OR ""stalking horse"" OR ""debtor-in-possession"" OR ""asset purchase agreement"" OR ""chapter 11 plan"""
139,P139,Samson Resources Corp  (CIK 0001548691),distressed,gap_prone,,PASS,1548691,8-K,2015-08-17,0001193125-15-292359,1311,Crude Petroleum & Natural Gas,5608312000,,,"""section 363"" OR ""stalking horse"" OR ""debtor-in-possession"" OR ""asset purchase agreement"" OR ""chapter 11 plan"""
140,P140,QUICKSILVER RESOURCES INC  (CIK 0001060990),distressed,gap_prone,,PASS,1060990,8-K,2015-09-18,0001060990-15-000090,1311,Crude Petroleum & Natural Gas,1214302000,,,"""section 363"" OR ""stalking horse"" OR ""debtor-in-possession"" OR ""asset purchase agreement"" OR ""chapter 11 plan"""
141,P141,James River Coal CO  (CIK 0001297720),distressed,gap_prone,,PASS,1297720,8-K,2014-08-21,0001019687-14-003342,1221,Bituminous Coal & Lignite Surface Mining,1204121000,,,"""section 363"" OR ""stalking horse"" OR ""debtor-in-possession"" OR ""asset purchase agreement"" OR ""chapter 11 plan"""
142,P142,"Quad/Graphics, Inc.  (QUAD)  (CIK 0001481792)",distressed,gap_prone,,PASS,1481792,8-K,2012-10-16,0001481792-12-000026,2750,Commercial Printing,4098900000,,,"""section 363"" OR ""stalking horse"" OR ""debtor-in-possession"" OR ""asset purchase agreement"" OR ""chapter 11 plan"""
143,P143,NII HOLDINGS INC  (CIK 0001037016),distressed,gap_prone,,PASS,1037016,8-K,2015-03-06,0001571049-15-001716,4812,Radiotelephone Communications,5430591000,,,"""section 363"" OR ""stalking horse"" OR ""debtor-in-possession"" OR ""asset purchase agreement"" OR ""chapter 11 plan"""
144,P144,NVR INC  (NVR)  (CIK 0000906163),distressed,gap_prone,,PASS,906163,8-K,2010-04-14,0000950123-10-034817,1531,Operative Builders,2260061000,,,"""section 363"" OR ""stalking horse"" OR ""debtor-in-possession"" OR ""asset purchase agreement"" OR ""chapter 11 plan"""
145,P145,Huntsman CORP  (HUN)  (CIK 0001307954),distressed,gap_prone,,PASS,1307954,8-K,2009-08-31,0001104659-09-052428,2800,Chemicals & Allied Products,8626000000,,,"""section 363"" OR ""stalking horse"" OR ""debtor-in-possession"" OR ""asset purchase agreement"" OR ""chapter 11 plan"""
146,P146,"Alpha Natural Resources, Inc.  (CIK 0001301063)",distressed,gap_prone,,PASS,1301063,8-K,2016-07-18,0001193125-16-650114,1221,Bituminous Coal & Lignite Surface Mining,10639466000,,,"""section 363"" OR ""stalking horse"" OR ""debtor-in-possession"" OR ""asset purchase agreement"" OR ""chapter 11 plan"""
147,P147,Nationstar Mortgage Holdings Inc.  (CIK 0001520566),distressed,gap_prone,,PASS,1520566,8-K,2012-09-19,0001193125-12-396051,6162,Mortgage Bankers & Loan Correspondents,7126143000,,,"""section 363"" OR ""stalking horse"" OR ""debtor-in-possession"" OR ""asset purchase agreement"" OR ""chapter 11 plan"""
148,P148,"Contura Energy, Inc.  (AMR)  (CIK 0001704715)",distressed,gap_prone,,PASS,1704715,S-4,2018-08-21,0001628280-18-011255,1221,Bituminous Coal & Lignite Surface Mining,2746058000,,,"""section 363"" OR ""stalking horse"" OR ""debtor-in-possession"" OR ""asset purchase agreement"" OR ""chapter 11 plan"""
149,P149,NORTEL NETWORKS CORP  (CIK 0000072911),distressed,gap_prone,,PASS,72911,8-K,2009-06-30,0001193125-09-141833,3661,Telephone & Telegraph Apparatus,4582000000,,,"""section 363"" OR ""stalking horse"" OR ""debtor-in-possession"" OR ""asset purchase agreement"" OR ""chapter 11 plan"""
150,P150,PENN NATIONAL GAMING INC  (PENN)  (CIK 0000921738),distressed,gap_prone,,PASS,921738,8-K,2009-11-17,0001104659-09-065443,7011,Hotels & Motels,4712616000,,,"""section 363"" OR ""stalking horse"" OR ""debtor-in-possession"" OR ""asset purchase agreement"" OR ""chapter 11 plan"""
151,P151,SEARS HOLDINGS CORP  (CIK 0001310067),distressed,gap_prone,,PASS,1310067,8-K,2018-12-04,0001193125-18-341446,5311,Retail-Department Stores,7273000000,,,"""section 363"" OR ""stalking horse"" OR ""debtor-in-possession"" OR ""asset purchase agreement"" OR ""chapter 11 plan"""
152,P152,Bausch Health Companies Inc.  (BHC)  (CIK 0000885590),distressed,gap_prone,,PASS,885590,8-K,2018-12-14,0000885590-18-000074,2834,Pharmaceutical Preparations,32492000000,,,"""section 363"" OR ""stalking horse"" OR ""debtor-in-possession"" OR ""asset purchase agreement"" OR ""chapter 11 plan"""
153,P153,Green Plains Inc.  (GPRE)  (CIK 0001309402),distressed,gap_prone,,PASS,1309402,8-K,2016-12-07,0001193125-16-787484,2860,Industrial Organic Chemicals,2506492000,,,"""section 363"" OR ""stalking horse"" OR ""debtor-in-possession"" OR ""asset purchase agreement"" OR ""chapter 11 plan"""
154,P154,"Molycorp, Inc.  (CIK 0001489137)",distressed,gap_prone,,PASS,1489137,8-K,2016-05-12,0001104659-16-120339,1000,Metal Mining,2575986000,,,"""section 363"" OR ""stalking horse"" OR ""debtor-in-possession"" OR ""asset purchase agreement"" OR ""chapter 11 plan"""
155,P155,ATP OIL & GAS CORP  (CIK 0001123647),distressed,gap_prone,,PASS,1123647,8-K,2012-12-13,0001193125-12-501946,1311,Crude Petroleum & Natural Gas,3388774000,,,"""section 363"" OR ""stalking horse"" OR ""debtor-in-possession"" OR ""asset purchase agreement"" OR ""chapter 11 plan"""
156,P156,Energy Future Holdings Corp /TX/  (CIK 0001023291),distressed,gap_prone,,PASS,1023291,10-K,2014-05-01,0001193125-14-176746,4911,Electric Services,44194000000,,,curated:Energy Future Holdings Chapter 11
157,P157,Patriot Coal CORP  (CIK 0001376812),distressed,gap_prone,,PASS,1376812,10-K,2012-08-09,0000950103-12-004067,1220,Silver Ores,3873643000,,,curated:Patriot Coal Chapter 11
158,P158,CAESARS ENTERTAINMENT Corp  (CIK 0000858339),distressed,gap_prone,,PASS,858339,8-K,2015-01-15,0001193125-15-011354,7011,Hotels & Motels,27475000000,,,curated:Caesars Entertainment Operating Chapter 11
159,P159,SunEdison Semiconductor Ltd  (CIK 0001585854),distressed,gap_prone,,PASS,1585854,8-K,2016-08-18,0001193125-16-684473,3674,Semiconductors & Related Devices,1383700000,,,curated:SunEdison Chapter 11
160,P160,"LINN ENERGY, LLC  (CIK 0001326428)",distressed,gap_prone,,PASS,1326428,8-K,2016-05-24,0001193125-16-599897,1311,Crude Petroleum & Natural Gas,18926994000,,,curated:LINN Energy Chapter 11
161,P161,PEABODY ENERGY CORP  (BTU)  (CIK 0001064728),distressed,gap_prone,,PASS,1064728,8-K,2016-08-10,0001193125-16-677563,1221,Bituminous Coal & Lignite Surface Mining,13845100000,,,curated:Peabody Energy Chapter 11
162,P162,BON TON STORES INC  (CIK 0000878079),distressed,gap_prone,,PASS,878079,8-K,2018-01-03,0001104659-18-000532,5311,Retail-Department Stores,2789497000,,,curated:Bon-Ton Stores Chapter 11
163,P163,EASTMAN KODAK CO  (KODK)  (CIK 0000031235),distressed,gap_prone,,PASS,31235,8-K,2012-12-28,0000031235-12-000109,3861,Photographic Equipment & Supplies,6929000000,,,curated:Eastman Kodak Chapter 11
164,P164,SABINE OIL & GAS CORP  (CIK 0000038079),distressed,gap_prone,,PASS,38079,8-K,2015-05-22,0001104659-15-040093,1311,Crude Petroleum & Natural Gas,2582851000,,,curated:Sabine Oil Gas Chapter 11
165,P165,"iHeartMedia, Inc.  (IHRT, IHETW, IHRTB)  (CIK 0001400891)",distressed,gap_prone,,PASS,1400891,8-K,2018-07-17,0001193125-18-219041,4832,Radio Broadcasting Stations,14285970000,,,curated:iHeartMedia Chapter 11
166,P166,GT Advanced Technologies Inc.  (CIK 0001394954),distressed,gap_prone,,PASS,1394954,8-K,2014-12-09,0001445305-14-005438,3674,Semiconductors & Related Devices,1508010000,,,curated:GT Advanced Technologies Chapter 11
167,P167,CUMULUS MEDIA INC  (CMLS)  (CIK 0001058623),distressed,gap_prone,,PASS,1058623,8-K,2017-05-15,0001058623-17-000028,4832,Radio Broadcasting Stations,3713386000,,,curated:Cumulus Media Chapter 11
168,P168,ARCH COAL INC  (ARCH)  (CIK 0001037676),distressed,gap_prone,,PASS,1037676,8-K,2016-10-11,0001104659-16-149399,1221,Bituminous Coal & Lignite Surface Mining,8823184000,,,curated:Arch Coal Chapter 11
169,P169,AMR CORP  (AAL)  (CIK 0000006201),distressed,gap_prone,,PASS,6201,8-K,2012-01-05,0000006201-12-000001,4512,"Air Transportation, Scheduled",44811000000,,,curated:AMR Corp Chapter 11
170,P170,EXIDE TECHNOLOGIES  (CIK 0000813781),distressed,gap_prone,,PASS,813781,10-K,2013-06-14,0000813781-13-000016,3690,"Miscellaneous Electrical Machinery, Equipment & Supplies",2226586000,,,curated:Exide Technologies Chapter 11
171,P171,SANDRIDGE ENERGY INC  (SD)  (CIK 0001349436),distressed,gap_prone,,PASS,1349436,8-K,2016-10-07,0001193125-16-733811,1311,Crude Petroleum & Natural Gas,7259225000,,,curated:SandRidge Energy Chapter 11
172,P172,"DYNEGY HOLDINGS, LLC  (CIK 0001105055)",distressed,gap_prone,,PASS,1105055,8-K,2012-03-16,0001104659-12-018950,4911,Electric Services,9949000000,,,curated:Dynegy Chapter 11
173,P173,"Midstates Petroleum Company, Inc.  (AMPY)  (CIK 0001533924)",distressed,gap_prone,,PASS,1533924,8-K,2016-09-07,0001104659-16-143491,1311,Crude Petroleum & Natural Gas,2475793000,,,curated:Midstates Petroleum Chapter 11
174,P174,Breitburn Energy Partners LP  (CIK 0001357371),distressed,gap_prone,,PASS,1357371,8-K,2016-05-26,0001357371-16-000348,1311,Crude Petroleum & Natural Gas,7638334000,,,curated:Breitburn Energy Chapter 11
175,P175,OVERSEAS SHIPHOLDING GROUP INC  (CIK 0000075208),distressed,gap_prone,,PASS,75208,10-K,2012-02-29,0001144204-12-011875,4412,Deep Sea Foreign Transportation of  Freight,4384695000,,,curated:Overseas Shipholding Chapter 11
176,P176,BARD C R INC /NJ/  (CIK 0000009892),control,control,P001,PASS,9892,DEFM14A,2017-06-30,0001193125-17-220263,3841,Surgical & Medical Instruments & Apparatus,5306100000,,,
177,P177,PINNACLE FOODS INC.  (CIK 0001564822),control,control,P002,PASS,1564822,DEFM14A,2018-09-17,0001193125-18-275423,2000,Food and Kindred Products,6578264000,,,
178,P178,Sensata Technologies Holding N.V.  (ST)  (CIK 0001477294),control,control,P003,PASS,1477294,DEFM14A,2018-01-19,0001477294-18-000012,3823,"Industrial Instruments For Measurement, Display, and Control",6797687000,,,
179,P179,WEST CORP  (CIK 0001024657),control,control,P004,PASS,1024657,DEFM14A,2017-06-27,0001193125-17-215084,7389,"Services-Business Services, NEC",3440838000,,,
180,P180,"ClubCorp Holdings, Inc.  (CIK 0001577095)",control,control,P005,PASS,1577095,DEFM14A,2017-08-08,0001047469-17-005072,7997,Services-Membership Sports & Recreation Clubs,2128714000,,,
181,P181,"Allied World Assurance Co Holdings, AG  (CIK 0001163348)",control,control,P006,PASS,1163348,DEFM14A,2017-08-03,0001047469-17-004976,6331,"Fire, Marine & Casualty Insurance",13179000000,,,
182,P182,ENBRIDGE ENERGY PARTNERS LP  (CIK 0000880285),control,control,P007,PASS,880285,DEFM14A,2018-11-09,0001193125-18-323821,4610,Pipe Lines (No Natural Gas),14828000000,,,
183,P183,PharMerica CORP  (CIK 0001388195),control,control,P008,PASS,1388195,DEFM14A,2017-10-03,0001567619-17-002126,5912,Retail-Drug Stores and Proprietary Stores,1273000000,,,
184,P184,"Alliance Holdings GP, L.P.  (CIK 0001344980)",control,control,P009,PASS,1344980,DEFM14A,2018-04-26,0001047469-18-003237,1221,Bituminous Coal & Lignite Surface Mining,2221251000,,,
185,P185,"Pandora Media, Inc.  (CIK 0001230276)",control,control,P010,PASS,1230276,DEFM14A,2018-12-20,0000930413-18-003625,4832,Radio Broadcasting Stations,1166322000,,,
186,P186,PRAXAIR INC  (CIK 0000884905),control,control,P011,PASS,884905,DEFM14A,2017-08-16,0001193125-17-259883,2810,Industrial Inorganic Chemicals,20436000000,,,
187,P187,CALPINE CORP  (CIK 0000916457),control,control,P012,PASS,916457,DEFM14A,2017-11-14,0001193125-17-341396,4911,Electric Services,16453000000,,,
188,P188,"DUPONT FABROS TECHNOLOGY, INC.  (CIK 0001407739)",control,control,P013,PASS,1407739,DEFM14A,2017-08-15,0001193125-17-257795,6500,Real Estate,3038464000,,,
189,P189,RENT A CENTER INC DE  (UPBD)  (CIK 0000933036),control,control,P014,PASS,933036,DEFM14A,2018-08-15,0001193125-18-249885,7359,"Services-Equipment Rental & Leasing, NEC",1396917000,,,
190,P190,BAKER HUGHES INC  (CIK 0000808362),control,control,P015,PASS,808362,DEFM14A,2017-05-30,0001193125-17-187240,3533,Oil & Gas Field Machinery & Equipment,56336000000,,,
191,P191,GENERAL CABLE CORP /DE/  (CIK 0000886035),control,control,P016,PASS,886035,DEFM14A,2018-01-16,0001193125-18-011306,3357,Drawing & Insulating of  Nonferrous Wire,2235300000,,,
192,P192,"VERIFONE SYSTEMS, INC.  (CIK 0001312073)",control,control,P017,PASS,1312073,DEFM14A,2018-05-21,0001193125-18-169570,3578,Calculating & Accounting Machines (No Electronic Computers),2358452000,,,
193,P193,"ILG, Inc.  (CIK 0001434620)",control,control,P018,PASS,1434620,DEFM14A,2018-07-24,0001193125-18-223956,6531,Real Estate Agents & Managers (For Others),3687000000,,,
194,P194,ROCKWELL COLLINS INC  (CIK 0001137411),control,control,P019,PASS,1137411,DEFM14A,2017-12-11,0001193125-17-365512,3728,"Aircraft Parts & Auxiliary Equipment, NEC",18052000000,,,
195,P195,AKORN INC  (CIK 0000003116),control,control,P020,PASS,3116,DEFM14A,2017-06-15,0001308179-17-000193,2834,Pharmaceutical Preparations,1909511000,,,
196,P196,"Ensco plc  (VAL, VAL-WT)  (CIK 0000314808)",control,control,P021,PASS,314808,DEFM14A,2018-12-11,0001047469-18-007564,1381,Drilling Oil & Gas Wells,14023700000,,,
197,P197,ALERE INC.  (CIK 0001145460),control,control,P022,PASS,1145460,DEFM14A,2017-06-06,0001193125-17-195381,2835,In Vitro & In Vivo Diagnostic Substances,5648279000,,,
198,P198,"Parkway, Inc.  (CIK 0001677761)",control,control,P023,PASS,1677761,DEFM14A,2017-08-11,0001193125-17-256025,6798,Real Estate Investment Trusts,2163895000,,,
199,P199,KLX Inc.  (CIK 0001617898),control,control,P024,PASS,1617898,DEFM14A,2018-07-25,0001047469-18-005152,3720,Aircraft & Parts,3790000000,,,
200,P200,Caesars Acquisition Co  (CIK 0001575879),control,control,P025,PASS,1575879,DEFM14A,2017-06-23,0001193125-17-211288,7011,Hotels & Motels,1821500000,,,
201,P201,NCI BUILDING SYSTEMS INC  (CIK 0000883902),control,control,P026,PASS,883902,DEFM14A,2018-10-17,0001144204-18-054087,3448,Prefabricated Metal Buildings & Components,5141187000,,,
202,P202,ENTERCOM COMMUNICATIONS CORP  (AUDAQ)  (CIK 0001067837),control,control,P027,PASS,1067837,DEFM14A,2017-10-16,0001193125-17-311047,4832,Radio Broadcasting Stations,4539201000,,,
203,P203,ESTERLINE TECHNOLOGIES CORP  (CIK 0000033619),control,control,P028,PASS,33619,DEFM14A,2018-11-30,0001193125-18-339843,3823,"Industrial Instruments For Measurement, Display, and Control",3017381000,,,
204,P204,"ORBITAL ATK, INC.  (CIK 0000866121)",control,control,P029,PASS,866121,DEFM14A,2017-10-25,0001047469-17-006525,3760,Guided Missiles & Space Vehicles & Parts,5666000000,,,
205,P205,SUN BANCORP INC /NJ/  (CIK 0001017793),control,control,P030,PASS,1017793,DEFM14A,2017-09-20,0001193125-17-289525,6029,"Commercial Banks, NEC",2262262000,,,
206,P206,ATWOOD OCEANICS INC  (CIK 0000008411),control,control,P031,PASS,8411,DEFM14A,2017-08-18,0001047469-17-005317,1381,Drilling Oil & Gas Wells,4629657000,,,
207,P207,"SNYDER'S-LANCE, INC.  (CIK 0000057528)",control,control,P032,PASS,57528,DEFM14A,2018-02-20,0001174947-18-000230,2052,Cookies & Crackers,3618337000,,,
208,P208,Patheon N.V.  (CIK 0001643848),control,control,P033,PASS,1643848,DEFM14A,2017-06-27,0001567619-17-001306,2834,Pharmaceutical Preparations,2638500000,,,
209,P209,Rice Energy Inc.  (CIK 0001588238),control,control,P034,PASS,1588238,DEFM14A,2017-10-12,0001047469-17-006341,1311,Crude Petroleum & Natural Gas,7817522000,,,
210,P210,"Pinnacle Entertainment, Inc.  (CIK 0001656239)",control,control,P035,PASS,1656239,DEFM14A,2018-02-28,0001047469-18-001164,7011,Hotels & Motels,3950228000,,,
211,P211,WildHorse Resource Development Corp  (CIK 0001681714),control,control,P036,PASS,1681714,DEFM14A,2018-12-26,0001193125-18-357922,1311,Crude Petroleum & Natural Gas,3255030000,,,
212,P212,Tronox Ltd  (TROX)  (CIK 0001530804),control,control,P037,PASS,1530804,DEFM14A,2017-08-31,0001567619-17-001809,2810,Industrial Inorganic Chemicals,4864000000,,,
213,P213,"Spectrum Brands Holdings, Inc.  (CIK 0001487730)",control,control,P038,PASS,1487730,DEFM14A,2018-06-12,0001193125-18-190106,3690,"Miscellaneous Electrical Machinery, Equipment & Supplies",7504800000,,,
214,P214,"Quinpario Acquisition Corp. 2  (XELA, XELAP)  (CIK 0001620179)",control,control,P039,PASS,1620179,DEFM14A,2017-06-26,0001047469-17-004226,7389,"Services-Business Services, NEC",1714838000,,,
215,P215,"Fidelity National Financial, Inc.  (FNF)  (CIK 0001331875)",control,control,P040,PASS,1331875,DEFM14A,2017-10-19,0001047469-17-006453,6361,Title Insurance,9151000000,,,
216,P216,"TERRAFORM GLOBAL, INC.  (CIK 0001620702)",control,control,P041,PASS,1620702,DEFM14A,2017-10-10,0001567619-17-002164,4911,Electric Services,2448279000,,,
217,P217,INTEGRATED DEVICE TECHNOLOGY INC  (CIK 0000703361),control,control,P042,PASS,703361,DEFM14A,2018-12-03,0001193125-18-341203,3674,Semiconductors & Related Devices,1377600000,,,
218,P218,ANDEAVOR  (CIK 0000050104),control,control,P043,PASS,50104,DEFM14A,2018-08-03,0001193125-18-238276,2911,Petroleum Refining,28573000000,,,
