case_id,deal,stratum,role,matched_to,gate_status,gap_45,gap_56,gap_any,gap_mitigated,p4_pathway,p5_pathway,p45_any,outcome_uncertain,struct_coders,outcome_coders,struct_flags,outcome_flags,notes
P093,WELLS REAL ESTATE INVESTMENT TRUST II INC  (CIK 0001252849),roll_up,gap_prone,,PASS,1,0,1,yes,0,0,0,0,claude|gemini|grok,claude|gemini|openai,,,
P094,"Blackstone Real Estate Income Trust, Inc.  (BSTT)  (CIK 0001662972)",roll_up,gap_prone,,PASS,1,0,1,yes,0,0,0,0,claude|grok|openai,claude|gemini|openai,sigma_T3,,
P095,"Compass Diversified Holdings  (CODI, CODI-PA, CODI-PB, CODI-PC)  (CIK 0001345126)",roll_up,gap_prone,,PASS,0,0,0,NA,1,0,1,0,claude|grok|openai,gemini|grok|openai,,,
P096,Industrial Income Trust Inc.  (CIK 0001464720),roll_up,gap_prone,,PASS,1,0,1,yes,0,0,0,1,gemini|grok|openai,claude|gemini|grok,sigma_T3,,p4_pathway=uncertain->0;p5_pathway=uncertain->0
P097,MACK CALI REALTY CORP  (VRE)  (CIK 0000924901),roll_up,gap_prone,,PASS,0,0,0,NA,0,0,0,0,claude|gemini|openai,claude|gemini|grok,sigma_T4|sigma_T5,,
P098,"PennyMac Mortgage Investment Trust  (PMT, PMTU, PMT-PA, PMT-PB, PMT-PC)  (CIK 0001464423)",roll_up,gap_prone,,PASS,1,0,1,yes,0,0,0,0,gemini|grok|openai,claude|grok|openai,,,
P099,"NorthStar Real Estate Income Trust, Inc.  (CIK 0001455650)",roll_up,gap_prone,,PASS,0,0,0,NA,0,0,0,1,claude|gemini|openai,gemini|grok|openai,,,p4_pathway=uncertain->0;p5_pathway=uncertain->0
P100,"Nexeo Solutions Holdings, LLC  (CIK 0001540047)",roll_up,gap_prone,,PASS,0,0,0,NA,0,0,0,0,claude|gemini|grok,claude|gemini|openai,,,
P101,Dividend Capital Diversified Property Fund Inc.  (CIK 0001327978),roll_up,gap_prone,,PASS,1,0,1,yes,0,0,0,0,claude|gemini|openai,claude|gemini|grok,sigma_T2|sigma_T4,,
P102,"COLE CREDIT PROPERTY TRUST IV, INC.  (CMRF)  (CIK 0001498547)",roll_up,gap_prone,,PASS,1,1,1,yes,0,0,0,0,claude|gemini|openai,claude|gemini|grok,,,
P103,AOL Inc.  (CIK 0001468516),roll_up,gap_prone,,PASS,1,0,1,yes,1,0,1,0,claude|gemini|openai,claude|grok|openai,,,
P104,"CNO Financial Group, Inc.  (CNO, CNO-PA)  (CIK 0001224608)",roll_up,gap_prone,,PASS,0,0,0,NA,0,0,0,0,claude|gemini|grok,claude|grok|openai,,,
P105,IRON MOUNTAIN INC  (IRM)  (CIK 0001020569),roll_up,gap_prone,,PASS,0,0,0,NA,0,0,0,0,claude|gemini|openai,claude|grok|openai,,,
P106,"Nexeo Solutions, Inc.  (CIK 0001604416)",roll_up,gap_prone,,PASS,0,0,0,NA,0,0,0,1,gemini|grok|openai,claude|grok|openai,,,p4_pathway=uncertain->0;p5_pathway=uncertain->0
P107,INLAND REAL ESTATE CORP  (CIK 0000923284),roll_up,gap_prone,,PASS,0,0,0,NA,0,0,0,0,claude|gemini|grok,gemini|grok|openai,,,
P108,Deerfield Capital Corp.  (CIK 0001313918),roll_up,gap_prone,,PASS,1,0,1,no,0,0,0,0,claude|grok|openai,claude|gemini|openai,sigma_T2,,
P109,"KRATOS DEFENSE & SECURITY SOLUTIONS, INC.  (KTOS)  (CIK 0001069258)",roll_up,gap_prone,,PASS,0,0,0,NA,0,0,0,0,claude|grok|openai,gemini|grok|openai,,,
P110,Verso Corp  (CIK 0001421182),roll_up,gap_prone,,PASS,1,0,1,yes,1,0,1,0,claude|grok|openai,claude|gemini|openai,,p4_pathway,p5_pathway=uncertain->0
P111,"COLE CORPORATE INCOME TRUST, INC.  (CIK 0001490626)",roll_up,gap_prone,,PASS,1,0,1,yes,0,0,0,0,gemini|grok|openai,claude|grok|openai,,,
P112,"ExamWorks Group, Inc.  (CIK 0001498021)",roll_up,gap_prone,,PASS,0,0,0,NA,0,0,0,0,claude|grok|openai,gemini|grok|openai,,,
P113,HERTZ CORP  (CIK 0000047129),roll_up,gap_prone,,PASS,1,0,1,no,0,0,0,0,claude|gemini|grok,claude|gemini|openai,,,
P114,Sprague Resources LP  (CIK 0001525287),roll_up,gap_prone,,PASS,0,1,1,yes,0,0,0,0,claude|gemini|grok,claude|grok|openai,gap_mitigated,,
P115,HERTZ GLOBAL HOLDINGS INC  (HRI)  (CIK 0001364479),roll_up,gap_prone,,PASS,1,0,1,no,0,0,0,0,claude|gemini|grok,gemini|grok|openai,sigma_T5,,
P116,Cole Credit Property Trust II Inc  (CIK 0001308606),roll_up,gap_prone,,PASS,1,0,1,yes,0,1,1,0,claude|gemini|grok,claude|gemini|openai,,p5_pathway,p4_pathway=uncertain->0
P117,Chemtura CORP  (CIK 0001091862),roll_up,gap_prone,,PASS,0,0,0,NA,0,0,0,0,claude|gemini|grok,gemini|grok|openai,,,
P118,PANTRY INC  (CIK 0000915862),roll_up,gap_prone,,PASS,0,1,1,NA,0,0,0,1,claude|gemini|grok,claude|gemini|openai,gap_56,,p4_pathway=uncertain->0;p5_pathway=uncertain->0
P119,EXPEDITORS INTERNATIONAL OF WASHINGTON INC  (EXPD)  (CIK 0000746515),roll_up,gap_prone,,PASS,0,0,0,NA,0,0,0,0,claude|grok|openai,claude|gemini|grok,,,
P120,"Cole Credit Property Trust III, Inc.  (CIK 0001425923)",roll_up,gap_prone,,PASS,0,0,0,NA,0,0,0,1,claude|gemini|openai,claude|grok|openai,,,p4_pathway=uncertain->0;p5_pathway=uncertain->0
P121,"NorthStar Real Estate Income II, Inc.  (CIK 0001564657)",roll_up,gap_prone,,PASS,0,0,0,NA,0,0,0,0,claude|grok|openai,claude|gemini|grok,gap_45,,gap_45=uncertain->0
P122,Corporate Property Associates 17 - Global INC  (CIK 0001390213),roll_up,gap_prone,,PASS,0,0,0,NA,0,0,0,1,gemini|grok|openai,claude|gemini|grok,,,p4_pathway=uncertain->0;p5_pathway=uncertain->0
P123,"Griffin-American Healthcare REIT II, Inc.  (CIK 0001455271)",roll_up,gap_prone,,PASS,1,0,1,no,0,0,0,1,gemini|grok|openai,claude|grok|openai,,,p4_pathway=uncertain->0;p5_pathway=uncertain->0
P124,INLAND WESTERN RETAIL REAL ESTATE TRUST INC  (CIK 0001222840),roll_up,gap_prone,,PASS,0,0,0,NA,0,0,0,0,gemini|grok|openai,claude|grok|openai,,,
P125,"Steadfast Income REIT, Inc.  (CIK 0001468010)",roll_up,gap_prone,,PASS,1,0,1,no,0,0,0,0,claude|gemini|openai,claude|gemini|grok,sigma_T2,,
P126,"Jones Lang LaSalle Income Property Trust, Inc.  (CIK 0001314152)",roll_up,gap_prone,,PASS,1,0,1,no,0,0,0,0,gemini|grok|openai,claude|gemini|grok,sigma_T3,,
P127,"Carter Validus Mission Critical REIT II, Inc.  (SILA)  (CIK 0001567925)",roll_up,gap_prone,,PASS,1,1,1,NA,0,0,0,0,claude|gemini|openai,gemini|grok|openai,sigma_T4|sigma_T6|gap_45|gap_56,,
P128,US Foods Holding Corp.  (USFD)  (CIK 0001665918),roll_up,gap_prone,,PASS,0,0,0,NA,0,0,0,0,claude|gemini|grok,claude|gemini|openai,,,
P129,Platform Specialty Products Corp  (ESI)  (CIK 0001590714),roll_up,gap_prone,,PASS,0,0,0,NA,0,0,0,0,gemini|grok|openai,claude|gemini|openai,,,
P130,JARDEN CORP  (CIK 0000895655),roll_up,gap_prone,,PASS,0,0,0,NA,0,1,1,0,claude|grok|openai,gemini|grok|openai,,p4_pathway|t2_model,
P131,"Vantiv, Inc.  (CIK 0001533932)",roll_up,gap_prone,,PASS,0,0,0,NA,0,0,0,0,claude|gemini|grok,claude|grok|openai,,,
P132,BERRY PLASTICS GROUP INC  (BERY)  (CIK 0001378992),roll_up,gap_prone,,PASS,0,1,1,no,0,0,0,0,claude|gemini|openai,gemini|grok|openai,,,
P133,RADIOSHACK CORP  (CIK 0000096289),distressed,gap_prone,,PASS,0,1,1,no,0,0,0,0,claude|grok|openai,gemini|grok|openai,,,
P134,"Smart & Final Stores, Inc.  (CIK 0001563407)",distressed,gap_prone,,PASS,1,1,1,no,0,0,0,0,gemini|grok|openai,claude|grok|openai,,,
P135,RR Donnelley & Sons Co  (CIK 0000029669),distressed,gap_prone,,PASS,1,0,1,NA,0,0,0,0,claude|gemini|grok,claude|grok|openai,sigma_T2|sigma_T3|gap_45,,gap_56=uncertain->0
P136,"Walter Energy, Inc.  (CIK 0000837173)",distressed,gap_prone,,PASS,0,1,1,no,0,0,0,0,claude|gemini|grok,gemini|grok|openai,,,
P137,DISH Network CORP  (CIK 0001001082),distressed,gap_prone,,PASS,0,0,0,NA,0,0,0,0,claude|grok|openai,claude|gemini|grok,,,
P138,Rice Energy Inc.  (CIK 0001588238),distressed,gap_prone,,PASS,1,0,1,no,0,0,0,0,claude|gemini|openai,gemini|grok|openai,,,
P139,Samson Resources Corp  (CIK 0001548691),distressed,gap_prone,,PASS,0,0,0,NA,0,0,0,0,claude|grok|openai,claude|gemini|grok,,,
P140,QUICKSILVER RESOURCES INC  (CIK 0001060990),distressed,gap_prone,,PASS,0,1,1,no,0,0,0,1,claude|gemini|grok,claude|grok|openai,,,p4_pathway=uncertain->0;p5_pathway=uncertain->0
P141,James River Coal CO  (CIK 0001297720),distressed,gap_prone,,PASS,0,1,1,yes,0,0,0,1,claude|gemini|openai,claude|grok|openai,,,p4_pathway=uncertain->0;p5_pathway=uncertain->0
